#link,coreId1,coreId2,cluster1,cluster2,linkType,eucDist,lcDist,eucAdj,cwdAdj,lcpLength,cwdToEucRatio,cwdToPathRatio
1.0,371.0,441.0,-1.0,-1.0,1.0,1747.0,5436.3203125,1.0,1.0,2205.0,3.11,2.47
2.0,371.0,542.0,-1.0,-1.0,1.0,24873.0,81586.140625,1.0,1.0,27744.0,3.28,2.94
3.0,371.0,554.0,-1.0,-1.0,1.0,13526.0,94373.7109375,1.0,0.0,31986.0,6.98,2.95
4.0,371.0,563.0,-1.0,-1.0,1.0,49592.0,164415.53125,1.0,1.0,60334.0,3.32,2.73
5.0,441.0,554.0,-1.0,-1.0,1.0,22812.0,81898.046875,1.0,0.0,27954.0,3.59,2.93
6.0,441.0,838.0,-1.0,-1.0,1.0,14102.0,40213.1914062,1.0,1.0,15763.0,2.85,2.55
7.0,441.0,1687.0,-1.0,-1.0,1.0,48771.0,126543.203125,1.0,0.0,55134.0,2.59,2.3
8.0,542.0,554.0,-1.0,-1.0,-15.0,10558.0,27480.6640625,1.0,1.0,10863.0,2.6,2.53
9.0,542.0,563.0,-1.0,-1.0,1.0,29359.0,86150.546875,1.0,1.0,30904.0,2.93,2.79
10.0,542.0,690.0,-1.0,-1.0,1.0,22511.0,59723.1796875,0.0,1.0,25634.0,2.65,2.33
11.0,542.0,696.0,-1.0,-1.0,1.0,2740.0,7515.71533203,1.0,1.0,2893.0,2.74,2.6
12.0,542.0,734.0,-1.0,-1.0,1.0,379.0,1284.64440918,1.0,1.0,446.0,3.39,2.88
13.0,554.0,734.0,-1.0,-1.0,1.0,6226.0,16288.5957031,1.0,1.0,6533.0,2.62,2.49
14.0,554.0,838.0,-1.0,-1.0,1.0,18885.0,51019.8359375,1.0,1.0,19718.0,2.7,2.59
15.0,554.0,865.0,-1.0,-1.0,1.0,4212.0,10770.7490234,1.0,1.0,4595.0,2.56,2.34
16.0,554.0,868.0,-1.0,-1.0,1.0,13248.0,33421.6757812,1.0,1.0,14363.0,2.52,2.33
17.0,563.0,629.0,-1.0,-1.0,1.0,221.0,597.032531738,1.0,1.0,254.0,2.7,2.35
18.0,563.0,690.0,-1.0,-1.0,1.0,7629.0,20536.7421875,1.0,1.0,8051.0,2.69,2.55
19.0,563.0,696.0,-1.0,-1.0,-15.0,18809.0,46211.5390625,1.0,0.0,19828.0,2.46,2.33
20.0,563.0,722.0,-1.0,-1.0,1.0,5599.0,12878.6416016,1.0,1.0,5783.0,2.3,2.23
21.0,563.0,1320.0,-1.0,-1.0,-15.0,22539.0,49362.109375,1.0,0.0,25161.0,2.19,1.96
22.0,629.0,690.0,-1.0,-1.0,1.0,7951.0,20240.8320312,1.0,1.0,8490.0,2.55,2.38
23.0,629.0,722.0,-1.0,-1.0,1.0,2330.0,5487.14355469,1.0,1.0,2539.0,2.35,2.16
24.0,629.0,938.0,-1.0,-1.0,1.0,6200.0,14247.1669922,1.0,1.0,6627.0,2.3,2.15
25.0,690.0,696.0,-1.0,-1.0,1.0,7309.0,17422.6660156,1.0,1.0,7826.0,2.38,2.23
26.0,690.0,938.0,-1.0,-1.0,1.0,8210.0,20330.5644531,1.0,1.0,8783.0,2.48,2.31
27.0,690.0,1112.0,-1.0,-1.0,1.0,12232.0,31769.6152344,1.0,1.0,13708.0,2.6,2.32
28.0,690.0,1131.0,-1.0,-1.0,1.0,10964.0,31955.0839844,1.0,0.0,13252.0,2.91,2.41
29.0,690.0,1256.0,-1.0,-1.0,1.0,9054.0,21917.6777344,1.0,1.0,10169.0,2.42,2.16
30.0,696.0,734.0,-1.0,-1.0,1.0,409.0,1197.70898438,1.0,1.0,420.0,2.93,2.85
31.0,696.0,1075.0,-1.0,-1.0,1.0,1401.0,3742.59179688,1.0,1.0,1502.0,2.67,2.49
32.0,696.0,1256.0,-1.0,-1.0,1.0,6479.0,14915.1523438,1.0,1.0,7020.0,2.3,2.12
33.0,722.0,938.0,-1.0,-1.0,1.0,4952.0,11842.4228516,1.0,1.0,5152.0,2.39,2.3
34.0,722.0,982.0,-1.0,-1.0,1.0,6114.0,12422.8974609,1.0,1.0,6627.0,2.03,1.87
35.0,722.0,1320.0,-1.0,-1.0,-15.0,13180.0,26674.0917969,1.0,0.0,14580.0,2.02,1.83
36.0,734.0,865.0,-1.0,-1.0,1.0,193.0,641.484863281,1.0,1.0,247.0,3.32,2.6
37.0,734.0,1075.0,-1.0,-1.0,1.0,3986.0,8959.01171875,1.0,1.0,4240.0,2.25,2.11
38.0,838.0,868.0,-1.0,-1.0,1.0,7307.0,19683.6308594,1.0,1.0,7670.0,2.69,2.57
39.0,838.0,996.0,-1.0,-1.0,1.0,1090.0,2660.85131836,1.0,1.0,1150.0,2.44,2.31
40.0,838.0,1335.0,-1.0,-1.0,-15.0,7996.0,20185.9785156,1.0,1.0,9078.0,2.52,2.22
41.0,838.0,1687.0,-1.0,-1.0,-15.0,24638.0,64918.734375,1.0,1.0,27845.0,2.63,2.33
42.0,865.0,868.0,-1.0,-1.0,1.0,6908.0,17267.4570312,1.0,1.0,7345.0,2.5,2.35
43.0,865.0,1075.0,-1.0,-1.0,1.0,1550.0,3544.73242188,1.0,1.0,1844.0,2.29,1.92
44.0,865.0,1141.0,-1.0,-1.0,1.0,3278.0,8053.95703125,1.0,1.0,3824.0,2.46,2.11
45.0,868.0,996.0,-1.0,-1.0,1.0,2455.0,12014.1992188,1.0,1.0,4584.0,4.89,2.62
46.0,868.0,1141.0,-1.0,-1.0,1.0,6679.0,16207.8017578,1.0,1.0,7105.0,2.43,2.28
47.0,868.0,1335.0,-1.0,-1.0,1.0,11559.0,29828.6875,1.0,1.0,12625.0,2.58,2.36
48.0,868.0,1653.0,-1.0,-1.0,1.0,16408.0,37761.6132812,1.0,1.0,17809.0,2.3,2.12
49.0,938.0,982.0,-1.0,-1.0,1.0,5626.0,14272.7226562,1.0,1.0,6583.0,2.54,2.17
50.0,938.0,1112.0,-1.0,-1.0,1.0,4381.0,28230.3671875,0.0,1.0,11400.0,6.44,2.48
51.0,938.0,1131.0,-1.0,-1.0,1.0,847.0,2669.0793457,1.0,1.0,1086.0,3.15,2.46
52.0,982.0,1131.0,-1.0,-1.0,1.0,5745.0,14409.4912109,1.0,1.0,7179.0,2.51,2.01
